name, price, profit 
('Share-PATS', 2770, 1107.1689999999999)
('Share-JWGF', 4869, 1944.1916999999999)
('Share-ALIY', 2908, 1161.1644)
('Share-NDKR', 3306, 1319.4246)
('Share-PLLK', 1994, 795.8054)
('Share-FWBE', 1830, 729.1042)
('Share-LFXB', 1483, 590.0857)
('Share-ZOFA', 2532, 1007.2296)
('Share-ANFX', 3854, 1531.206)
('Share-FAPS', 3257, 1287.8178)
('Share-LXZU', 424, 167.6496)
('Share-XQII', 1342, 530.2242)
('Share-ECAQ', 3166, 1250.2534)
('Share-JGTW', 3529, 1391.4847)
('Share-IXCI', 2632, 1037.008)
('Share-DWSK', 2949, 1160.4315)
('Share-ROOM', 1506, 590.8038)
('Share-VCXT', 2919, 1144.8318)
('Share-YFVZ', 2255, 881.705)
('Share-OCKK', 316, 114.9924)
('Share-JMLZ', 127, 31.381700000000002)
('Share-DYVD', 28, 2.87)

Total cost: 49996
Total profit: 19776.834500000004
