name, price, profit 
('Share-KMTG', 2321, 927.7037)
('Share-GHIZ', 2800, 1116.92)
('Share-NHWA', 2918, 1160.4886000000001)
('Share-UEZB', 2487, 980.6241)
('Share-LPDM', 3935, 1563.3754999999999)
('Share-MTLR', 1648, 659.1052999999999)
('Share-USSR', 2562, 1013.5272000000001)
('Share-GTQK', 1540, 615.23)
('Share-FKJW', 2108, 838.5623999999999)
('Share-MLGM', 1, 0.1886)
('Share-QLMK', 1738, 686.3362)
('Share-WPLI', 3464, 1382.4823999999999)
('Share-LGWG', 3141, 1240.695)
('Share-ZSDE', 1511, 602.5868)
('Share-SKKC', 2487, 982.1163000000001)
('Share-QQTU', 3319, 1314.324)
('Share-GIAJ', 1075, 428.925)
('Share-XJMO', 939, 375.4122)
('Share-LRBZ', 3290, 1314.355)
('Share-KZBL', 2899, 1134.6686)
('Share-EMOV', 889, 351.3328000000001)
('Share-IFCP', 2923, 1165.6924000000001)

Total cost: 49995
Total profit: 19854.652100000003
